"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"CLRHK","0x11a87","Codeword for lambda control behind catalyst on/off","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","72.0","72.0","0x48","0x48","-","Codewort für Lambda - Regelung hinter Kat ein/aus","Codewort für Lambda - Regelung hinter Kat ein/aus","Codewort für Lambda - Regelung hinter Kat ein/aus"
"KFZWMS (AR 12147)","0x11bb0","Permanent latest possible ignition angle","12x16","8 Bit","-","grad KW","0x100ff","0x100c2","%","Upm","0.75","0.75","40.0","-95.25","16.5","0x81","0x16","-","Kennfeld mit dauerhaft spätest möglichem Zündwinkel","Kennfeld mit dauerhaft spätest möglichem Zündwinkel","Kennfeld mit dauerhaft spätest möglichem Zündwinkel"
"KFZW","0x11c72","Ignition angle map","12x16","8 Bit","-","grad KW","0x100ff","0x100c2","%","U/min","0.75","0.75","40.0","-13.5","42.75","0xee","0x39","-","Zündwinkelkennfeld","Zündwinkelkennfeld","Zündwinkelkennfeld"
"KFZW 16","0x11c72","Ignition angle map, 16 bit load","12x16","8 Bit","-","grad KW","0x10032","0x100c2","%","U/min","0.75","0.023438","40.0","-13.5","42.75","0xee","0x39","-","Zündwinkelkennfeld","Zündwinkelkennfeld","Zündwinkelkennfeld"
"KFZW 16","0x11c72","Ignition angle map, 16 bit load","12x16","8 Bit","-","grad KW","0x10032","0x100c2","%","U/min","0.75","0.023438","40.0","-13.5","42.75","0xee","0x39","-","Zündwinkelkennfeld","Zündwinkelkennfeld","Zündwinkelkennfeld"
"KFZW2","0x11d32","Ignition angle map (fnwue=1)","12x16","8 Bit","-","grad KW","0x100ff","0x100c2","%","U/min","0.75","0.75","40.0","-18.0","47.25","0xe8","0x3f","-","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2"
"KFZW2 16","0x11d32","Ignition angle map (fnwue=1), 16 bit load","12x16","8 Bit","-","grad KW","0x10032","0x100c2","%","U/min","0.75","0.0234375","40.0","-18.0","47.25","0xe8","0x3f","-","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2"
"KFZW2 16","0x11d32","Ignition angle map (fnwue=1), 16 bit load","12x16","8 Bit","-","grad KW","0x10032","0x100c2","%","U/min","0.75","0.0234375","40.0","-18.0","47.25","0xe8","0x3f","-","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2","Zündwinkelkennfeld Variante 2"
"KFZWWLNM (AR 123D2)","0x11e3b","Delta timing during warmup","12x12","8 Bit","-","grad KW","0x10122","0x10097","Grad C","Upm","0.75","0.75","40.0","-7.5","7.5","0xf6","0xa","-","Delta Zündwinkel im Warmlauf","Delta Zündwinkel im Warmlauf","Delta Zündwinkel im Warmlauf"
"FHOKOB","0x11f25","Altitude threshold for compressor shutdown during acceleration","1x1","8 Bit","-","-","-","-","-","-","0.015625","1.0","1.0","0.015625","0.015625","0x1","0x1","Unchanged?","Höhenschwelle für Kompressorabschaltung bei Beschleunigung","Höhenschwelle für Kompressorabschaltung bei Beschleunigung","Höhenschwelle für Kompressorabschaltung bei Beschleunigung"
"TANSKOB","0x11f48","IAT threshold for AC compressor cutoff","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","140.25","140.25","0xfb","0xfb","-","Ansauglufttemperaturschwelle für Kompressorabschaltung","Ansauglufttemperaturschwelle für Kompressorabschaltung","Ansauglufttemperaturschwelle für Kompressorabschaltung"
"TKOMBKOA","0x11f72","Motor temperature threshold from cluster for compressor cutoff","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","118.5","118.5","0xde","0xde","-","Motortemperaturschwelle aus Kombiinstrument für Kompressorabschaltung","Motortemperaturschwelle aus Kombiinstrument für Kompressorabschaltung","Motortemperaturschwelle aus Kombiinstrument für Kompressorabschaltung"
"TKOMBKOE","0x11f73","Motor temperature threshold from cluster for compressor activation","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","117.75","117.75","0xdd","0xdd","-","Motortemperaturschwelle aus Kombiinstrument für Kompressoreinschaltung","Motortemperaturschwelle aus Kombiinstrument für Kompressoreinschaltung","Motortemperaturschwelle aus Kombiinstrument für Kompressoreinschaltung"
"TMKOAO","0x11f85","Upper motor temperature threshold for compressor cutoff","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","142.5","142.5","0xfe","0xfe","-","Obere Motortemperaturschwelle für Kompressorabschaltung","Obere Motortemperaturschwelle für Kompressorabschaltung","Obere Motortemperaturschwelle für Kompressorabschaltung"
"TMKOAU","0x11f86","Lower motor temperature threshold for compressor cutoff","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","-47.25","-47.25","0x1","0x1","-","Untere Motortemperaturschwelle für Kompressorabschaltung","Untere Motortemperaturschwelle für Kompressorabschaltung","Untere Motortemperaturschwelle für Kompressorabschaltung"
"TMSTMAD","0x11f87","Threshold for tmot during start for requirements adaption","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","24.0","24.0","0x60","0x60","-","Schwelle für tmot im Start für Bedarfsadaption","Schwelle für tmot im Start für Bedarfsadaption","Schwelle für tmot im Start für Bedarfsadaption"
"VKO","0x11f8a","Vehicle speed threshold for AC control","1x1","8 Bit","-","km/h","-","-","-","-","1.25","1.0","1.0","0.0","0.0","0x0","0x0","-","Geschwindigkeitsschwelle für AC-Steuerung","Geschwindigkeitsschwelle für AC-Steuerung","Geschwindigkeitsschwelle für AC-Steuerung"
"VKOAO","0x11f8b","Upper vehicle speed threshold for compressor cutoff","1x1","8 Bit","-","km/h","-","-","-","-","1.25","1.0","1.0","20.0","20.0","0x10","0x10","-","Obere Geschwindigkeitsschwelle für Kompressorabschaltung","Obere Geschwindigkeitsschwelle für Kompressorabschaltung","Obere Geschwindigkeitsschwelle für Kompressorabschaltung"
"VKOB","0x11f8c","Vehicle speed threshold for compressor control during acceleration","1x1","8 Bit","-","km/h","-","-","-","-","1.25","1.0","1.0","0.0","0.0","0x0","0x0","-","Geschwindingkeitsschwelle für Ko-Steuerung in Beschleunigung","Geschwindingkeitsschwelle für Ko-Steuerung in Beschleunigung","Geschwindingkeitsschwelle für Ko-Steuerung in Beschleunigung"
"WPEDKO","0x11f8d","Pedal angle threshold for compressor shutoff","8x1","8 Bit","-","%","0x11f34","-","Upm","-","0.390625","40.0","1.0","99.609375","99.609375","0xff","0xff","-","Pedalwinkelschwelle für KO-Ausschaltung","Pedalwinkelschwelle für KO-Ausschaltung","Pedalwinkelschwelle für KO-Ausschaltung"
"CWGGPBKV","0x11fa1","Codewode for brake booster function GGPBKV","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","6.0","6.0","0x6","0x6","-","","","Codewort für Bremskraftverstärker Funktion GGPBKV"
"CWGGPBKV","0x11fa1","Codewode for brake booster function GGPBKV","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","6.0","6.0","0x6","0x6","Unchanged.","","","Codewort für Bremskraftverstärker Funktion GGPBKV"
"AIMVM","0x12a56","Number of speed pulses per m for signal normalization v","1x1","16 Bit (LoHi)","-","-","0x12a54","0x12a4e","-","-","0.001","1.0","1.0","4.131","4.131","0x1023","0x1023","-","Anzahl Geschwindigkeitsimpulse pro m für Normierung v-Signal","Anzahl Geschwindigkeitsimpulse pro m für Normierung v-Signal","Anzahl Geschwindigkeitsimpulse pro m für Normierung v-Signal"
"-","0x12ae2","Axis: RPM (PID)","16x1","16 Bit (LoHi)","-","U/min","-","-","-","-","0.25","1.0","1.0","1000.0","6500.0","0xfa0","0x6590","-","","",""
"SNM16OPUW","0x12b04","Axis: RPM (timing, 16bit)","16x1","16 Bit (LoHi)","-","U/min","-","-","-","-","0.25","1.0","1.0","440.0","6520.0","0x6e0","0x65e0","-","Stützstellenverteilung Drehzahl","Stützstellenverteilung Drehzahl","Stützstellenverteilung Drehzahl"
"SPL08LDUW","0x12b26","Axis: hPa (KFLDIMX)","8x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","500.0064","2000.0256","0x1900","0x6400","1/2","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung","Stützstellenverteilung für Ladedruckregelung"
"-","0x12b42","Axis: Pressure ratio for KVPBDKSD/E","12x1","16 Bit (LoHi)","-","-","-","-","-","-","6.1E-5","1.0","1.0","1.049383","1.599054","0x4333","0x6666","-","","",""
"CW_CAN_R0","0x12c7a","CAN bus receive enable (06611)","1x1","16 Bit (LoHi)","-","-","-","-","-","-","1.0","1.0","1.0","32.0","32.0","0x20","0x20","15 Not assigned
14 Not assigned
13 % CANSEN
12 BSG_Last
11 Botschaft ZAS
10 Botschaft Fahrwerk (Chassis)
9 Botschaft Clima 1
8 Bothschaft Niveau 1
7 Botschaft Bremse 3
6 Botschaft Allrad 1
5 Kombi 1, 2 ,3
4 Botschaft LWS
3 Botschaft Airbag
2 Botschaft Brake 1
1 Botschaft Gearbox 2
0 Botschaft Gearbox 1","","",""
"CW_CAN_R1","0x12c7c","CAN bus receive enable (06711)","1x1","16 Bit (LoHi)","-","-","-","-","-","-","1.0","1.0","1.0","36.0","36.0","0x24","0x24","15 Not assigned
14 Not assigned
13 % CANSEN
12 BSG_Last
11 Botschaft ZAS
10 Botschaft Fahrwerk (Chassis)
9 Botschaft Clima 1
8 Bothschaft Niveau 1
7 Botschaft Bremse 3
6 Botschaft Allrad 1
5 Kombi 1, 2 ,3
4 Botschaft LWS
3 Botschaft Airbag
2 Botschaft Brake 1
1 Botschaft Gearbox 2
0 Botschaft Gearbox 1","","",""
"NGALU","0x12ca4","Misfire detection: RPM deviation attenuation threshold","8x1","16 Bit (LoHi)","-","U/min/s","0x1007c","-","Upm","-","0.39063","40.0","1.0","1000.0128","3000.0384","0xa00","0x1e00","-","","Misfire Detection : Schwelle Drehzahländerung für Ausblendung","Misfire Detection : Schwelle Drehzahländerung für Ausblendung"
"-","0x12cc4","Manufacturer P code table","4x354","16 Bit (LoHi)","-","-","-","-","-","-","1.0","1.0","1.0","0.0","12898.0","0x0","0x3262","-","","",""
"NMAXF","0x13b52","Maximum engine speed exceeded threshold","1x1","16 Bit (LoHi)","-","Upm","-","-","-","-","0.25","1.0","1.0","7200.0","7200.0","0x7080","0x7080","-","Fehlererkennung nmax - Überschreitung","Fehlererkennung nmax - Überschreitung","Fehlererkennung nmax - Überschreitung"
"KISRM","0x13dea","Integrator coefficient for intake model (Dynamic)","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.0E-5","1.0","1.0","0.24087","0.24087","0x1f5d","0x1f5d","1/2","Integratorbeiwert für Saugrohrmodell (Dynamik)","Integratorbeiwert für Saugrohrmodell (Dynamik)","Integratorbeiwert für Saugrohrmodell (Dynamik)"
"DSLGRAD","0x13dec","Slope of MAP sensor pressure","1x1","16 Bit (LoHi)","-","hPa/V","-","-","-","-","0.03125","1.0","1.0","1082.0","1082.0","0x8740","0x8740","1/2","Gradient für Drucksensor Ladedruck","Gradient für Drucksensor Ladedruck","Gradient für Drucksensor Ladedruck"
"DSLGRAD","0x13dec","Slope of MAP sensor pressure","1x1","16 Bit (LoHi)","-","hPa/V","-","-","-","-","0.015625","1.0","1.0","541.0","541.0","0x8740","0x8740","-","Gradient für Drucksensor Ladedruck","Gradient für Drucksensor Ladedruck","Gradient für Drucksensor Ladedruck"
"DSLOFS","0x13dee","Offset MAP sensor pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.039063","1.0","1.0","-16.40646","-16.40646","0xfe5c","0xfe5c","-","Offset Drucksensor Ladedruck","Offset Drucksensor Ladedruck","Offset Drucksensor Ladedruck"
"DSLOFS","0x13dee","Offset of MAP sensor pressure","1x1","16 Bit (LoHi)","-","hPa","-","-","-","-","0.078126","1.0","1.0","-32.81292","-32.81292","0xfe5c","0xfe5c","1/2","Offset Drucksensor Ladedruck","Offset Drucksensor Ladedruck","Offset Drucksensor Ladedruck"
"KFWDKSMX (AR 1494A)","0x13f16","Maximum desired throttle plate angle","3x10","16 Bit (LoHi)","-","%","0x13f10","0x13efc","-","U/min","0.001526","6.1E-5","0.25","27.503098","100.00641","0x4667","0xffff","-","maximaler Solldrosselklappenwinkel","maximaler Solldrosselklappenwinkel","maximaler Solldrosselklappenwinkel"
"KFMI_UM (AR 14096)","0x14098","Optimal engine torque under monitoring","8x8","8 Bit","-","%","0x1407e","0x14087","Upm","%","0.390625","40.0","0.75","4.296875","89.0625","0xb","0xe4","-","Kennfeld optimales Motormoment in der Funktionsüberwachung","Kennfeld optimales Motormoment in der Funktionsüberwachung","Kennfeld optimales Motormoment in der Funktionsüberwachung"
"KFZW_UM  (AR 140D6)","0x140d8","Map: optimal ignition angle under monitoring","8x8","8 Bit","-","grad KW","0x1407e","0x14087","Upm","%","0.75","40.0","0.75","12.75","51.0","0x11","0x44","-","Kennfeld für optimalen Zündwinkel in der Funktionsüberwachung","Kennfeld für optimalen Zündwinkel in der Funktionsüberwachung","Kennfeld für optimalen Zündwinkel in der Funktionsüberwachung"
"KFMDZOF_UM","0x14129","Map: Offset tolerance depending on allowed torque","8x8","8 Bit","-","%","0x1407e","0x141ea","Upm","%","0.390625","40.0","0.390625","6.25","99.609375","0x10","0xff","-","","Kennfeld für Offset-Toleranz in Abhängigkeit vom zulässigen Moment","Kennfeld für Offset-Toleranz in Abhängigkeit vom zulässigen Moment"
"KFMPED_UM","0x14169","Map for allowable torque from pedal position in the functions monitoring","8x8","8 Bit","-","%","0x14075","0x14090","Upm","V","0.390625","40.0","0.019531","3.125","99.609375","0x8","0xff","-","","Kennfeld für zulässiges Moment aus der Pedalstellung in der Funktionsüberwachg","Kennfeld für zulässiges Moment aus der Pedalstellung in der Funktionsüberwachg"
"KFMPNS_UM","0x141a9","Map for allowable torque from pedal position on cold motor","8x8","8 Bit","-","%","0x14075","0x14090","Upm","V","0.390625","40.0","0.019531","6.25","99.609375","0x10","0xff","-","","Kennfeld für zul. Moment aus Pedalstellung bei kaltem Motor","Kennfeld für zul. Moment aus Pedalstellung bei kaltem Motor"
"MLHFM (AR 13974)","0x14254","Linearization of MAF voltage","512x1","16 Bit (LoHi)","-","kg/h","-","-","v","-","0.1","0.009766","1.0","0.0","1213.1000000000001","0x0","0x2f63","-","Linearisierung der Heißfilmspannung","Linearisierung der Heißfilmspannung","Linearisierung der Heißfilmspannung"
"MLHFM (AR 13974)","0x14254","Linearization of MAF voltage (g/sec)","512x1","16 Bit (LoHi)","-","g/sec","-","-","v","-","0.027778","0.009766","1.0","0.0","336.974918","0x0","0x2f63","-","Linearisierung der Heißfilmspannung","Linearisierung der Heißfilmspannung","Linearisierung der Heißfilmspannung"
"MLOFS (AR 13D76, RS4 14656)","0x14656","MAF offset (Bosch = 200 kg/h)","1x1","16 Bit (LoHi)","-","kg/h","-","-","-","-","0.1","1.0","1.0","0.0","0.0","0x0","0x0","-","Kennlinienoffset HFM 5","Kennlinienoffset HFM 5","Kennlinienoffset HFM 5"
"KFMSNWDK (AR 143DA)","0x146a6","Normalized mass flow over DK","6x16","16 Bit (LoHi)","-","kg/h","0x1469a","0x1467a","U/min","%","0.1","0.25","0.001526","0.0","1770.0","0x0","0x4524","-","Kennfeld normierter Massenstrom über DK","Kennfeld normierter Massenstrom über DK","Kennfeld normierter Massenstrom über DK"
"PSSOLNGRD","0x14b52","Negative pssol gradient threshhold","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","0.1","1.0","1.0","-3000.0","-3000.0","0x8ad0","0x8ad0","1/2","Schwelle negativer pssol-Gradient","Schwelle negativer pssol-Gradient","Schwelle negativer pssol-Gradient"
"PSSOLPGRD","0x14b54","Positive pssol gradient threshhold","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","0.1","1.0","1.0","3000.0","3000.0","0x7530","0x7530","1/2","Schwelle positiver pssol-Gradient","Schwelle positiver pssol-Gradient","Schwelle positiver pssol-Gradient"
"WDKUGDN","0x14b56","KL Drosselklappenwinkel, ab der keine Drosselung mehr erfolgt","12x1","16 Bit (LoHi)","-","%","0x100a4","-","Upm","-","0.00152587890625","40.0","1.0","5.047607421875","50.19989013671875","0xcec","0x8083","-","KL Drosselklappenwinkel, ab der keine Drosselung mehr erfolgt","KL Drosselklappenwinkel, ab der keine Drosselung mehr erfolgt","KL Drosselklappenwinkel, ab der keine Drosselung mehr erfolgt"
"KFMIRL (AR 14A1C)","0x14bee","Engine load desired (rlsol)","12x16","16 Bit (LoHi)","-","%","0x14bd6","0x14bb6","% rltsol","RPM","0.023438","0.001526","0.25","3.98446","190.996262","0xaa","0x1fd5","-","Kennfeld für Berechnung Sollfüllung","Kennfeld für Berechnung Sollfüllung","Kennfeld für Berechnung Sollfüllung"
"TEMIN","0x14ee4","Minimum injector on time (TE)","1x1","16 Bit (LoHi)","-","ms","-","-","-","-","0.002667","1.0","1.0","0.5013960000000001","0.5013960000000001","0xbc","0xbc","-","minimales TE","minimales TE","minimales TE"
"TEMINVA","0x14ee6","Minimum injector on time (TE) during VA","1x1","16 Bit (LoHi)","-","ms","-","-","-","-","0.002667","1.0","1.0","0.0","0.0","0x0","0x0","-","minimales TE bei VA","minimales TE bei VA","minimales TE bei VA"
"TVUB","0x14eee","Injector on time offset voltage correction","5x1","16 Bit (LoHi)","-","ms","0x14ee9","-","V","-","0.002667","0.0704","1.0","0.6080760000000001","2.00025","0xe4","0x2ee","-","Spannungskorrektur","Spannungskorrektur","Spannungskorrektur"
"FKSTT_1_A","0x14fa8","Cold start enrichment factor","12x1","16 Bit (LoHi)","-","-","0x14fc1","-","Grad C","-","9.77E-4","0.75","1.0","1.2505600000000001","33.515008","0x500","0x8600","-","Faktor Kaltstart","","Faktor Kaltstart"
"FKSTT_0_A","0x14fce","Cold start enrichment factor","12x1","16 Bit (LoHi)","-","-","0x14f9b","-","Grad C","-","9.77E-4","0.75","1.0","1.2505600000000001","33.515008","0x500","0x8600","-","Faktor Kaltstart","","Faktor Kaltstart"
"KFWKSTAB (AR 14E42)","0x14ff4","Repeated cold start factor of start count reduction","4x4","8 Bit","-","-","0x14ff0","0x14fe8","Grad C","s","0.007813","0.75","1.0","0.601601","1.000064","0x4d","0x80","-","Faktor Wiederholkaltstart zur Reduzierung der Startmenge","","Faktor Wiederholkaltstart zur Reduzierung der Startmenge"
"FBSTABGM","0x150c2","Faktor Bauteileschutz abhängig von model. Abgastemperatur","4x1","16 Bit (LoHi)","-","-","0x150ba","-","Grad C","-","3.0517578125E-5","0.01953125","1.0","1.0","1.0","0x8000","0x8000","-","Faktor Bauteileschutz abhängig von model. Abgastemperatur","Faktor Bauteileschutz abhängig von model. Abgastemperatur","Faktor Bauteileschutz abhängig von model. Abgastemperatur"
"DFRBAF","0x150ca","Delta Lambdaregler zur Erkennung BA fett","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.0517578125E-5","1.0","1.0","-0.03997802734375","-0.03997802734375","0xfae2","0xfae2","-","Delta Lambdaregler zur Erkennung BA fett","Delta Lambdaregler zur Erkennung BA fett","Delta Lambdaregler zur Erkennung BA fett"
"DFRBAM","0x150cc","Delta Lambdaregler zur Erkennung BA mager","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.0517578125E-5","1.0","1.0","0.029998779296875","0.029998779296875","0x3d7","0x3d7","-","Delta Lambdaregler zur Erkennung BA mager","Delta Lambdaregler zur Erkennung BA mager","Delta Lambdaregler zur Erkennung BA mager"
"DFRVAF","0x150ce","Delta Lambdaregler zur Erkennung VA fett","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.0517578125E-5","1.0","1.0","-0.04998779296875","-0.04998779296875","0xf99a","0xf99a","-","Delta Lambdaregler zur Erkennung VA fett","Delta Lambdaregler zur Erkennung VA fett","Delta Lambdaregler zur Erkennung VA fett"
"DFRVAM","0x150d0","Delta Lambdaregler zur Erkennung VA mager","1x1","16 Bit (LoHi)","-","-","-","-","-","-","3.0517578125E-5","1.0","1.0","0.029998779296875","0.029998779296875","0x3d7","0x3d7","-","Delta Lambdaregler zur Erkennung VA mager","Delta Lambdaregler zur Erkennung VA mager","Delta Lambdaregler zur Erkennung VA mager"
"RKUKKUKA","0x150d2","Schwelle für Erkennung UK-Aktivität (Kurzzeitanteil) in UK-Adaption","1x1","16 Bit (LoHi)","-","%","-","-","-","-","0.1875","1.0","1.0","5.0625","5.0625","0x1b","0x1b","-","Schwelle für Erkennung UK-Aktivität (Kurzzeitanteil) in UK-Adaption","Schwelle für Erkennung UK-Aktivität (Kurzzeitanteil) in UK-Adaption","Schwelle für Erkennung UK-Aktivität (Kurzzeitanteil) in UK-Adaption"
"TMNUUKA","0x150d4","Minimalzeit zwischen 2 Adaptionsvorgängen (ÜK-Adaption)","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.01","1.0","1.0","1.0","1.0","0x64","0x64","-","Minimalzeit zwischen 2 Adaptionsvorgängen (ÜK-Adaption)","Minimalzeit zwischen 2 Adaptionsvorgängen (ÜK-Adaption)","Minimalzeit zwischen 2 Adaptionsvorgängen (ÜK-Adaption)"
"TNSUUKA","0x150d6","Verbotszeit ÜK-Adaption im Nachstart","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.01","1.0","1.0","327.89","327.89","0x8015","0x8015","-","Verbotszeit ÜK-Adaption im Nachstart","Verbotszeit ÜK-Adaption im Nachstart","Verbotszeit ÜK-Adaption im Nachstart"
"TDTMMA","0x150d8","Verzögerungszeit Anfangswert Motortemperaturmodell","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.1","1.0","1.0","0.0","0.0","0x0","0x0","-","Verzögerungszeit Anfangswert Motortemperaturmodell","Verzögerungszeit Anfangswert Motortemperaturmodell","Verzögerungszeit Anfangswert Motortemperaturmodell"
"TDTMNP","0x150da","Entprellzeit Fehlererkennung Unplausibilität Signal TMOT","1x1","16 Bit (LoHi)","-","s","-","-","-","-","0.1","1.0","1.0","1.0","1.0","0xa","0xa","-","Entprellzeit Fehlererkennung Unplausibilität Signal TMOT","Entprellzeit Fehlererkennung Unplausibilität Signal TMOT","Entprellzeit Fehlererkennung Unplausibilität Signal TMOT"
"DZWTIN (AR 153E8)","0x15242","Delta ignition angle with tip engaged","16x1","8 Bit","-","grad KW","0x15222","-","Upm","-","-0.75","40.0","1.0","0.0","0.0","0x0","0x0","-","delta-Zündwinkel bei Tip in","delta-Zündwinkel bei Tip in","delta-Zündwinkel bei Tip in"
"ADRONLOGIN","0x15312","Login code to activate ADR","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","11463.0","11463.0","0x2cc7","0x2cc7","-","Logincode zum Aktivieren ADR","Logincode zum Aktivieren ADR","Logincode zum Aktivieren ADR"
"GRAOFLOGIN","0x15314","Login code for GRA locking","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","16167.0","16167.0","0x3f27","0x3f27","-","Login-Code für GRA sperren","Login-Code für GRA sperren","Login-Code für GRA sperren"
"GRAONLOGIN","0x15316","Login code for GRA unlocking","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","11463.0","11463.0","0x2cc7","0x2cc7","-","Login-Code für GRA freischalten","Login-Code für GRA freischalten","Login-Code für GRA freischalten"
"KLOGIN","0x15318","Login code for service","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","45678.0","45678.0","0xb26e","0xb26e","-","Login-Code für Kundendienst","Login-Code für Kundendienst","Login-Code für Kundendienst"
"SLOGIN","0x1531a","Login code for development","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","13737.0","13737.0","0x35a9","0x35a9","-","Login-Code für Entwicklung","Login-Code für Entwicklung","Login-Code für Entwicklung"
"VARDEF","0x1531c","Default variant for variant encoding","1x1","16 Bit (LoHi)","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","6611.0","6611.0","0x19d3","0x19d3","-","Default Variante für Variantencodierung","Default Variante für Variantencodierung","Default Variante für Variantencodierung"
"THLDUVD (RS4 15702)","0x15468","Dwell time for dynamic BPV (N249) control","1x1","8 Bit","-","s","-","-","-","-","0.05","1.0","1.0","2.0","2.0","0x28","0x28","-","Haltezeit LDR Umluftventilsteuerung dynamisch","Haltezeit LDR Umluftventilsteuerung dynamisch","Haltezeit LDR Umluftventilsteuerung dynamisch"
"KFVPDKSD (AR 1565C, RS4 15704)","0x1546a","Desired pressure ratio DK dynamic","12x12","16 Bit (LoHi)","-","-","0x12b42","0x12ac8","-","U/min","0.003053","6.1E-5","0.25","95.03378400000001","100.040704","0x7998","0x8000","-","Solldruckverhältnis DK im Dynamikbetrieb","Solldruckverhältnis DK im Dynamikbetrieb","Solldruckverhältnis DK im Dynamikbetrieb"
"KFVPDKSE (AR 1577C)","0x1558a","Desired pressure ratio DK stationary","12x12","16 Bit (LoHi)","-","-","0x12b42","0x12ac8","-","U/min","0.003053","6.1E-5","0.25","95.03378400000001","100.040704","0x7998","0x8000","-","Solldruckverhältnis DK im Stationärbetrieb","Solldruckverhältnis DK im Stationärbetrieb","Solldruckverhältnis DK im Stationärbetrieb"
"TDPDK (AR 1589C)","0x156aa","Down-control time constant for fmvp_w factor","1x1","8 Bit","-","s","-","-","-","-","1.0","1.0","1.0","11.0","11.0","0xb","0xb","-","Zeitkonstante Abregelung für Faktor fmvp_w","Zeitkonstante Abregelung für Faktor fmvp_w","Zeitkonstante Abregelung für Faktor fmvp_w"
"SPS08LDUW","0x156ae","Axis: hPa (KFVPLGU)","8x1","16 Bit (LoHi)","-","hPa","-","-","?","-","0.078126","1.0","1.0","2.34378","18.75024","0x1e","0xf0","leave alone.

hPa axis data is odd because it is unused, since CWPLGU bit 0 disables this path","","","Stützstellenverteilung für Ladedruckregelung"
"DPLSDWG","0x156d8","Max. delta plsol for wastegate diagnosis","8x1","16 Bit (LoHi)","-","hPa","0x156cf","-","Upm","-","0.039063","20.0","1.0","0.0","256.057965","0x0","0x199b","-","","","Max. Delta plsol für Diagnose Waste- Gate"
"DPVDKDWG","0x156f2","Min. delta pressure before throttle plate for wastegate diagnosis","8x1","16 Bit (LoHi)","-","hPa","0x156e9","-","Upm","-","0.039063","20.0","1.0","0.0","256.057965","0x0","0x199b","-","","","Min. Delta Druck vor DK für Diagnose Waste- Gate"
"DPVDKDWG","0x156f2","Min. delta pressure before throttle plate for wastegate diagnosis","8x1","16 Bit (LoHi)","-","hPa","0x156e9","-","Upm","-","0.078126","20.0","1.0","0.0","512.11593","0x0","0x199b","1/2? (TODO)","","","Min. Delta Druck vor DK für Diagnose Waste- Gate"
"KFMDST_0_A (AR 15B1E)","0x1585e","Starting torque","6x8","8 Bit","-","%","0x15858","0x15850","Grad C","-","0.78","0.75","0.007813","-55.38","15.600000000000001","0xb9","0x14","-","Startmoment","",""
"KIFZGHG","0x1589a","Integrator scaler for vehicle RPM model","8x1","16 Bit (LoHi)","-","-","-","-","-","-","0.074219","1.0","1.0","1.8554749999999998","35.996215","0x19","0x1e5","-","","","Integratorverstärkung des Fahrzeugmodells bei AT"
